Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
protein homodimerization activity (GO:0042803)	22/665	0.110199899	0.388901269	0.389572342	0.66128044	-0.865057675	1.907849491	ACVR1;NTRK2;HIP1;GCH1;GYPC;PLEK;ADAM10;LILRB1;INHBB;NOD1;PYGL;SEPT4;TYMP;CD4;SNX1;HHEX;CDH1;OXCT1;HMOX1;MYH9;APOE;GBP1
Rab GTPase binding (GO:0017137)	6/131	0.110077509	0.388901269	0.223020667	0.633988961	-0.81466123	1.797607469	NSF;TBC1D2;RIN3;TBC1D12;UNC13D;PICALM
regulatory region DNA binding (GO:0000975)	9/225	0.111635824	0.388901269	0.261524766	0.633988961	-0.682225659	1.495788816	MEF2C;FOXC1;CIITA;HHEX;HDAC1;NFYB;PROX1;TP53;TEAD3
core promoter sequence-specific DNA binding (GO:0001046)	Apr-74	0.113466089	0.392710554	0.201740313	0.633988961	-0.936355977	2.037745879	HDAC1;IRF7;PROX1;TP53
endoribonuclease activity (GO:0004521)	24-Feb	0.119714962	0.411664998	0.180072086	0.633988961	-1.340764909	2.845963477	RNASET2;DICER1
protein tyrosine kinase binding (GO:1990782)	Mar-49	0.123032606	0.416973389	0.20059165	0.633988961	-1.363333171	2.856599998	CD4;HYAL2;TP53
death receptor activity (GO:0005035)	25-Feb	0.128070608	0.416973389	0.190881654	0.633988961	-1.385770829	2.847999541	LTBR;TNFRSF1B
phosphatidylinositol phospholipase C activity (GO:0004435)	25-Feb	0.128070608	0.416973389	0.190881654	0.633988961	-1.268216899	2.606405815	PLCG2;PLCB2
NF-kappaB binding (GO:0051059)	25-Feb	0.128070608	0.416973389	0.190881654	0.633988961	-1.258669811	2.586784892	HDAC1;TP53BP2
tumor necrosis factor-activated receptor activity (GO:0005031)	25-Feb	0.128070608	0.416973389	0.190881654	0.633988961	-1.23844582	2.545221081	LTBR;TNFRSF1B
ribonuclease activity (GO:0004540)	Mar-50	0.128601851	0.416973389	0.208302287	0.633988961	-1.0782154	2.211456524	AZGP1;RNASET2;DICER1
sterol binding (GO:0032934)	Mar-49	0.123032606	0.416973389	0.20059165	0.633988961	-0.895500092	1.876346602	SOAT1;PMP2;APOE
phosphatidylinositol 3-kinase activity (GO:0035004)	Apr-77	0.126186368	0.416973389	0.220458888	0.633988961	-0.895874013	1.854455046	GAB1;PIK3C2A;PIK3R5;HBEGF
phosphoprotein phosphatase activity (GO:0004721)	6/137	0.128494641	0.416973389	0.252380058	0.633988961	-0.750487975	1.539902323	PTPRC;EYA1;PPP2R5A;PTPN6;PLPP3;PTPN3
transition metal ion binding (GO:0046914)	14/400	0.129081818	0.416973389	0.348369738	0.653806586	-0.540843764	1.107274211	B4GALT1;ACE;GCH1;LIMD1;SOD2;SOD3;IFIH1;CD4;HEPH;SCD;ALOX5;MT1G;TP53;LIMS1
cytokine receptor binding (GO:0005126)	6/138	0.131700873	0.422870876	0.257377018	0.633988961	-0.847897658	1.71887682	FKBP1A;TGFB1;TGFBRAP1;INHBB;BMP7;PGF
MAP kinase kinase kinase activity (GO:0004709)	Apr-79	0.134984924	0.430820148	0.233185812	0.633988961	-0.927780867	1.857966706	NTRK2;ARAF;TEK;MAP3K14
cysteine-type endopeptidase inhibitor activity (GO:0004869)	Mar-52	0.140000486	0.441539995	0.223913994	0.633988961	-1.218041073	2.394801982	CST3;RPS6KA1;BIRC6
Rab guanyl-nucleotide exchange factor activity (GO:0017112)	Mar-52	0.140000486	0.441539995	0.223913994	0.633988961	-1.020750956	2.006908032	ALS2CL;RIN3;DENND3
nerve growth factor binding (GO:0048406)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-3.480923726	6.333037874	PCSK6
O-acetyltransferase activity (GO:0016413)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-3.15837978	5.746215757	LPCAT2
cAMP-dependent protein kinase regulator activity (GO:0008603)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-3.371874604	5.725569864	PRKAR2B
CD4 receptor binding (GO:0042609)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-3.054619754	5.557439379	CD74
iron ion transmembrane transporter activity (GO:0005381)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.767483826	5.035037038	SLC40A1
1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.70210193	4.916084122	PIK3R5
MHC class I receptor activity (GO:0032393)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.563420523	4.663773336	LILRB1
transforming growth factor beta-activated receptor activity (GO:0005024)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.366144764	4.30485859	TGFBR1
activin-activated receptor activity (GO:0017002)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.516786106	4.273597442	ACVR1
mannosidase activity (GO:0015923)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.513761767	4.268462	MAN2B1
AP-2 adaptor complex binding (GO:0035612)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.493073906	4.233333234	HIP1
"inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)"	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.466025986	4.187404849	INPP5D
aldehyde-lyase activity (GO:0016832)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.441485213	4.145733694	DERA
"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)"	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.271344767	4.13238369	ST6GALNAC1
"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity (GO:0003831)"	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.400739105	4.07654527	B4GALT1
chloride ion binding (GO:0031404)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.388491019	4.05574756	ACE
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.385143674	4.050063642	PIK3C2A
azole transmembrane transporter activity (GO:1901474)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.164994395	3.938894552	SLC19A3
palmitoyl-(protein) hydrolase activity (GO:0008474)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.282805871	3.876290204	ABHD17A
phospholipase binding (GO:0043274)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.23687298	3.798294428	WAS
LBD domain binding (GO:0050693)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.067425128	3.761381366	PROX1
acetyl-CoA C-acyltransferase activity (GO:0003988)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.034133617	3.70081227	HADHA
alpha-mannosidase activity (GO:0004559)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-2.028493998	3.690551797	MAN2B1
clathrin light chain binding (GO:0032051)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-1.998091287	3.635238456	HIP1
"aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)"	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-1.973674963	3.590816483	PSEN1
fatty acid elongase activity (GO:0009922)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.091593578	3.551604542	ELOVL5
AT DNA binding (GO:0003680)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-2.040348608	3.464588655	MEF2C
alanine transmembrane transporter activity (GO:0022858)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.963248625	3.333669986	SLC1A4
interleukin-17 receptor activity (GO:0030368)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.953571454	3.317237784	IL17RA
cardiolipin binding (GO:1901612)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.812817721	3.078232655	GSDMD
glycine transmembrane transporter activity (GO:0015187)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.805263038	3.065404518	SLC38A5
ribosomal protein S6 kinase activity (GO:0004711)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.801042677	3.058238187	RPS6KA1
L-alanine transmembrane transporter activity (GO:0015180)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.488883278	2.528179789	SLC1A4
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	Mar-53	0.145823247	0.453774816	0.23180483	0.633988961	-1.216894902	2.342960803	SPI1;HDAC1;NFYB
T cell receptor binding (GO:0042608)	7-Jan	0.162130203	0.453774816	0.21450573	0.633988961	-1.27851831	2.326079374	DOCK2
phospholipase C activity (GO:0004629)	28-Feb	0.153880671	0.453774816	0.223752985	0.633988961	-1.169066838	2.187999589	PLCG2;PLCB2
iron ion binding (GO:0005506)	Mar-55	0.157699095	0.453774816	0.247731539	0.633988961	-1.033078364	1.908164462	HEPH;SCD;ALOX5
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)"	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.058244938	1.796939695	DICER1
metalloexopeptidase activity (GO:0008235)	Mar-55	0.157699095	0.453774816	0.247731539	0.633988961	-0.966351449	1.784915411	ACE;CPE;LAP3
L-proline transmembrane transporter activity (GO:0015193)	8-Jan	0.183042374	0.453774816	0.237866896	0.633988961	-1.007380663	1.710570244	SLC1A4
phosphatidylinositol phosphate binding (GO:1901981)	Apr-82	0.148632507	0.453774816	0.252595447	0.633988961	-0.856456769	1.632645055	GSDMD;HIP1;KIF16B;FERMT2
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"	Apr-89	0.182370518	0.453774816	0.299015146	0.633988961	-0.600336839	1.021602114	HADHA;ABCC4;HIBADH;HADH
"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)"	10/281	0.166588144	0.453774816	0.365061648	0.658687061	-0.545733335	0.978080045	MEF2C;HHEX;AKNA;MYC;IRF7;PROX1;TP53;ELK3;TBX2;NFKB2
Ras GTPase binding (GO:0017016)	7/185	0.180840117	0.453774816	0.345487692	0.650688833	-0.524901634	0.897656314	NSF;TBC1D2;SH3BP4;RIN3;TBC1D12;UNC13D;PICALM
calcium ion binding (GO:0005509)	10/285	0.176953234	0.453774816	0.381072896	0.658687061	-0.474841867	0.822364288	SCIN;LRP1;CDH1;KCNIP2;HPCA;ESYT2;FBLN1;ITPR3;RASGRP2;THBS1
DNA binding (GO:0003677)	27/894	0.177189273	0.453774816	0.559672808	0.711946555	-0.461968582	0.799453621	APP;FOXC1;PDS5B;DDX60;LYL1;HHEX;CHRAC1;MYC;TEAD3;MEF2C;KDM2B;NFYB;APLP2;RFX2;NFATC2;PROX1;KLF2;MLF2;TBX2;ABI2;BCL6;ERF;IRF7;CRY1;NABP1;IRF5;TP53
phosphatidylcholine transporter activity (GO:0008525)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-2.540276247	4.045175277	ABCA7
sterol esterase activity (GO:0004771)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.555261657	3.830754834	LIPA
macromolecule transmembrane transporter activity (GO:0022884)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.303121659	3.452755771	AZGP1
phosphate ion binding (GO:0042301)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.245067	3.365722349	MTHFD2
UDP-glucosyltransferase activity (GO:0035251)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.235882965	3.351953978	GYG2
bile acid binding (GO:0032052)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-2.063885754	3.286563671	PYGL
siRNA binding (GO:0035197)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.18927957	3.282087873	DICER1
ligand-gated sodium channel activity (GO:0015280)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-2.042384474	3.2523247	ASIC2
phospholipase inhibitor activity (GO:0004859)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.994777085	3.176513955	APOC1
cytoskeletal adaptor activity (GO:0008093)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-2.09914911	3.146967583	ABI2
phosphatidylinositol 3-kinase regulator activity (GO:0035014)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.761524436	2.80507882	PIK3R5
enoyl-CoA hydratase activity (GO:0004300)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.717857061	2.735542216	HADHA
transferrin receptor binding (GO:1990459)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.66144362	2.645708577	SNX1
inositol tetrakisphosphate phosphatase activity (GO:0052743)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-1.728824144	2.591789936	INPP5D
glucosidase activity (GO:0015926)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.586292473	2.526036726	PGGHG
RNA 7-methylguanosine cap binding (GO:0000340)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-1.63949331	2.457868417	CYFIP1
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-1.62382077	2.434372718	PRKAR2B
lipoprotein lipase activity (GO:0004465)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.524219651	2.427191001	AOAH
GDP-dissociation inhibitor activity (GO:0005092)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.477121358	2.35219095	SH3BP4
vascular endothelial growth factor receptor binding (GO:0005172)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-1.464933192	2.196174272	PGF
bioactive lipid receptor activity (GO:0045125)	9-Jan	0.203433623	0.463143614	0.260535206	0.633988961	-1.374112411	2.188157906	LPAR6
"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)"	Feb-33	0.198728593	0.463143614	0.279236859	0.633988961	-1.166105797	1.884211517	KIF16B;FERMT2
phosphatidylinositol-3-phosphate binding (GO:0032266)	Feb-32	0.189621835	0.463143614	0.268124126	0.633988961	-1.105208078	1.837655482	HIP1;KIF16B
2-acylglycerol-3-phosphate O-acyltransferase activity (GO:0047144)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-1.221431253	1.831125069	LPCAT2
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	Feb-34	0.207886177	0.463143614	0.290337379	0.633988961	-1.053355345	1.654573259	SLCO1C1;SLCO2B1
phosphoric diester hydrolase activity (GO:0008081)	Feb-34	0.207886177	0.463143614	0.290337379	0.633988961	-1.01646315	1.596624307	PLCG2;PLCB2
aminopeptidase activity (GO:0004177)	Feb-35	0.217086403	0.463143614	0.301416618	0.633988961	-0.946500938	1.445742166	CTSH;LAP3
D-glucose transmembrane transporter activity (GO:0055056)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-0.931084769	1.395848238	SLC2A3
enhancer sequence-specific DNA binding (GO:0001158)	Mar-65	0.220838645	0.463143614	0.329065658	0.642461522	-0.888498786	1.341920114	SPI1;HDAC1;NFYB
BMP binding (GO:0036122)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-0.839521586	1.258580061	ENG
E-box binding (GO:0070888)	Feb-35	0.217086403	0.463143614	0.301416618	0.633988961	-0.723625837	1.105309401	MYC;LMO2
transmembrane receptor protein kinase activity (GO:0019199)	Mar-63	0.207794353	0.463143614	0.312687515	0.638390242	-0.695332386	1.092510677	ACVR1;NTRK2;TEK
ATPase binding (GO:0051117)	Mar-64	0.214295125	0.463143614	0.320875675	0.638390242	-0.688798805	1.061026455	ANK2;TCIRG1;PTPN3
actin-dependent ATPase activity (GO:0030898)	10-Jan	0.223316902	0.463143614	0.28253115	0.633988961	-0.681506494	1.021689615	MYH9
integrin binding (GO:0005178)	Apr-95	0.213082279	0.463143614	0.339552969	0.650688833	-0.576292502	0.890992526	SYK;ADAM23;ADAM10;THBS1
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0003705)"	Mar-65	0.220838645	0.463143614	0.329065658	0.642461522	-0.566859166	0.856140412	MEF2C;SPI1;PROX1
serine-type endopeptidase activity (GO:0004252)	7/197	0.222732221	0.463143614	0.404000288	0.664605412	-0.534821991	0.80318766	C3;MMP2;RHBDF2;CTSH;PLAT;PCSK6;CTSS
"phosphotransferase activity, alcohol group as acceptor (GO:0016773)"	9/255	0.188697752	0.463143614	0.385362021	0.659668884	-0.480357565	0.801048473	ACVR1;SYK;ARAF;TEK;PIK3C2A;NLK;MAP3K14;TGFBR1;HK2
serine-type peptidase activity (GO:0008236)	8/221	0.188847348	0.463143614	0.371621372	0.658687061	-0.45689593	0.761561571	C3;ACE;MMP2;RHBDF2;CTSH;PLAT;PCSK6;CTSS
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	Mar-62	0.201339366	0.463143614	0.304505017	0.633988961	-0.474074105	0.759828628	NTRK2;CRIM1;TEK
protein serine/threonine kinase activity (GO:0004674)	12/369	0.213433118	0.463143614	0.460448077	0.695237465	-0.408972188	0.631629636	ACVR1;ICK;SYK;RPS6KA1;ARAF;VRK2;ALPK1;PAK3;NLK;MAP3K14;TGFBR1;CSNK1G2
protein kinase activity (GO:0004672)	16/514	0.216189951	0.463143614	0.511300666	0.701045603	-0.325514242	0.498556915	ACVR1;NTRK2;SYK;ARAF;VRK2;NLK;TGFBR1;ICK;HCK;RPS6KA1;TEK;ALPK1;PAK3;MAP3K14;CSNK1G2;HBEGF
ion transmembrane transporter activity (GO:0015075)	Feb-36	0.226321461	0.465750342	0.312466056	0.638390242	-1.061305343	1.576886307	SLC4A10;SLC4A4
manganese ion binding (GO:0030145)	Feb-36	0.226321461	0.465750342	0.312466056	0.638390242	-0.291099946	0.432515978	B4GALT1;SOD2
metalloendopeptidase activity (GO:0004222)	Mar-66	0.227421919	0.466214934	0.337253738	0.650688833	-0.310963734	0.460521218	ADAMTS4;MMP2;ADAM10
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-2.659685423	3.765873133	PDE8B
protein-hormone receptor activity (GO:0016500)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-2.251333176	3.187683419	ADIPOR2
long-chain fatty acid-CoA ligase activity (GO:0004467)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-2.242570643	3.175276467	ACSL1
vinculin binding (GO:0017166)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-2.13728782	3.026205547	PXN
lipase inhibitor activity (GO:0055102)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.979895867	2.803352828	APOC1
dipeptidase activity (GO:0016805)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.949096289	2.759743421	ACE
eukaryotic initiation factor 4E binding (GO:0008190)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.796998869	2.544387281	HHEX
galactosyltransferase activity (GO:0008378)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.775447724	2.513872817	B4GALT1
phosphatidylglycerol binding (GO:1901611)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.754724214	2.484530207	GSDMD
adenylate cyclase binding (GO:0008179)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.670162506	2.364798504	CAP1
neurexin family protein binding (GO:0042043)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.106677301	1.566954603	CPE
small protein activating enzyme activity (GO:0008641)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-1.066160068	1.509585879	UBA7
death domain binding (GO:0070513)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-0.689475406	0.97623459	DAP
fatty acid synthase activity (GO:0004312)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-0.594949108	0.842393932	ELOVL5
I-SMAD binding (GO:0070411)	11-Jan	0.242704839	0.470406106	0.303874617	0.633988961	-0.531627803	0.752736711	TGFBR1
"phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)"	Mar-69	0.247380978	0.477732105	0.361770979	0.658687061	-0.212341595	0.296604199	GAB1;PIK3R5;HBEGF
transcription corepressor activity (GO:0003714)	7/204	0.248610481	0.478373236	0.438142491	0.68818079	-0.254496875	0.354226041	HDAC1;ERF;PROX1;LIMD1;AJUBA;ZNF366;ELK3
"inositol 1,4,5 trisphosphate binding (GO:0070679)"	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.643768326	2.204131225	ITPR3
adenyl nucleotide binding (GO:0030554)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.582439275	2.121895016	PFN1
mRNA 3'-UTR AU-rich region binding (GO:0035925)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.561287033	2.093531945	CPEB2
protein phosphatase 1 binding (GO:0008157)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.505987745	2.019381054	LILRB1
Lys63-specific deubiquitinase activity (GO:0061578)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.360106977	1.823769329	TNFAIP3
ribosomal large subunit binding (GO:0043023)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.257855927	1.686660754	CPEB2
lipid phosphatase activity (GO:0042577)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-1.078236071	1.445808241	PLPP3
phospholipase activity (GO:0004620)	Mar-70	0.254094211	0.479168376	0.369916419	0.658687061	-0.559649339	0.766747673	PLCG2;GDPD1;PLCB2
ribosome binding (GO:0043022)	Feb-39	0.254162886	0.479168376	0.345358062	0.650688833	-0.547858116	0.750445055	SEC61A1;CPEB2
intermediate filament binding (GO:0019215)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-0.488358593	0.654840713	PKP2
"intramolecular transferase activity, phosphotransferases (GO:0016868)"	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-0.480947706	0.644903445	PGM1
growth factor activity (GO:0008083)	Mar-70	0.254094211	0.479168376	0.369916419	0.658687061	-0.468232032	0.641501376	GRN;PGF;HBEGF
RNA polymerase II activity (GO:0001055)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-0.458399581	0.614668633	POLR2E
adenyl-nucleotide exchange factor activity (GO:0000774)	12-Jan	0.261609751	0.479168376	0.324584908	0.638390242	-0.426680067	0.572135893	PFN1
receptor tyrosine kinase binding (GO:0030971)	Feb-40	0.263466222	0.480916084	0.356213198	0.658687061	-0.466357827	0.622042111	HYAL2;TP53
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	Mar-72	0.267594349	0.486784259	0.386147639	0.659668884	-0.551414227	0.726920039	GAB1;PIK3R5;HBEGF
kinase activity (GO:0016301)	9/281	0.269737947	0.489014713	0.495480672	0.698652783	0.027466391	-0.035989331	ACVR1;SYK;RPS6KA1;ARAF;TEK;PIK3C2A;NLK;MAP3K14;TGFBR1
protein-arginine N-methyltransferase activity (GO:0016274)	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.852612618	2.358023499	NDUFAF7
RNA polymerase I activity (GO:0001054)	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.621290584	2.063594547	POLR2E
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.420925102	1.808567398	KCNIP2
RNA polymerase II basal transcription factor binding (GO:0001091)	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.381436903	1.758306431	TP53
"transcriptional repressor activity, RNA polymerase II activating transcription factor binding (GO:0098811)"	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.209962317	1.540051897	LMO2
basic amino acid transmembrane transporter activity (GO:0015174)	13-Jan	0.280043648	0.497544215	0.344680754	0.650688833	-1.100882916	1.401214566	SLC7A7
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)"	9/285	0.283072941	0.501255406	0.51207189	0.701045603	-0.022788398	0.028760112	MEF2C;FOXC1;AKNA;MYC;LMO2;IRF5;TP53;ELK3;NFKB2
GTPase inhibitor activity (GO:0005095)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-1.636389049	1.981013527	CPEB2
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-1.619454333	1.960512351	INPP5D
protein kinase A catalytic subunit binding (GO:0034236)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-1.571190781	1.902084467	PRKAR2B
ubiquitin-ubiquitin ligase activity (GO:0034450)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-1.374069624	1.663449481	UBR5
ionotropic glutamate receptor binding (GO:0035255)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-1.255057097	1.519372846	NSF
thiolester hydrolase activity (GO:0016790)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-0.703355016	0.851481988	ABHD17A
carbohydrate kinase activity (GO:0019200)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-0.65910687	0.797915157	HK2
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	Feb-44	0.300632288	0.511939327	0.398928316	0.662472384	-0.623835529	0.749767582	HCK;SYK
1-phosphatidylinositol-3-kinase activity (GO:0016303)	Feb-44	0.300632288	0.511939327	0.398928316	0.662472384	-0.613339026	0.737152178	GAB1;PIK3C2A
guanylate kinase activity (GO:0004385)	14-Jan	0.298018243	0.511939327	0.364180335	0.658687061	-0.227246179	0.275104355	MAGI3
potassium channel regulator activity (GO:0015459)	Feb-44	0.300632288	0.511939327	0.398928316	0.662472384	-0.19586204	0.2354002	KCNIP2;ABCC9
"transferase activity, transferring pentosyl groups (GO:0016763)"	Feb-43	0.291358947	0.511939327	0.388366008	0.66128044	-0.174190218	0.214811251	NAMPT;TYMP
vitamin D receptor binding (GO:0042809)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.730411125	1.995949834	MED24
protein serine/threonine/tyrosine kinase activity (GO:0004712)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.518739231	1.751796016	RPS6KA1
5'-nucleotidase activity (GO:0008253)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.47000501	1.695583328	NT5E
outward rectifier potassium channel activity (GO:0015271)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.440636504	1.661708104	KCNIP2
ribosomal small subunit binding (GO:0043024)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.391668933	1.605226258	CPEB2
Rac guanyl-nucleotide exchange factor activity (GO:0030676)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.271364979	1.466461167	DOCK2
lipoprotein transporter activity (GO:0042954)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.252265399	1.444430678	LRP1
MHC class I protein binding (GO:0042288)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.243024778	1.433772046	LILRB1
MAP kinase activity (GO:0004707)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-1.149560863	1.325965708	NLK
L-glutamate transmembrane transporter activity (GO:0005313)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-0.91168894	1.05159136	SLC7A11
protein tyrosine kinase activity (GO:0004713)	5/148	0.310344971	0.515906324	0.47904353	0.697354018	-0.35956702	0.420718867	HCK;NTRK2;SYK;TEK;HBEGF
GTP binding (GO:0005525)	5/148	0.310344971	0.515906324	0.47904353	0.697354018	-0.309551382	0.36219703	RAB32;GCH1;SEPT4;GBP1;GNAI1
