Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of interferon-beta production (GO:0032648)	5/35	0.00165769134807965188953271518101928450050763785839080810546875	0.030104099930190086897852097536087967455387115478515625	0.005606271056462479134008258796484369668178260326385498046875	0.1164297119656726164915738763738772831857204437255859375	-1.881999206652918	12.049178849232261	IFIH1;RNF216;IRF7;IRF5;TLR2
regulation of tumor necrosis factor secretion (GO:1904467)	3/16	0.0067862669084984110490221809186550672166049480438232421875	0.0660669902122886509854282621745369397103786468505859375	0.016410543135907111611526687511286581866443157196044921875	0.1721891433482401756460689057348645292222499847412109375	-2.4116147007454662	12.040840783139158	IFIH1;LGALS9;HAVCR2
negative regulation of cell proliferation (GO:0008285)	20/364	0.000882494766408816453708008342715629623853601515293121337890625	0.022238232949887047629200509391012019477784633636474609375	0.00818698359274470065238826776976566179655492305755615234375	0.1337816215367770567024052752458374015986919403076171875	-1.694835290402332	11.919365938112746	APP;TGFB1;KDM2B;CD300A;TNFAIP3;FBLN1;PROX1;PDS5B;SOD2;IFIT3;SLC9A3R1;AZGP1;SCIN;FRZB;ADAMTS1;MYC;SH3BP4;HMOX1;PTPN6;TP53
regulation of macrophage apoptotic process (GO:2000109)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.6832815001388783	11.866496659501202	MEF2C;IRF7
nucleus localization (GO:0051647)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.6780501265213092	11.843361525317825	SLC9A3R1;SUN2
negative regulation of cytokine production (GO:0001818)	11/111	0.0001045713907822136347521013721717508815345354378223419189453125	0.006171890626791899821246278889930181321687996387481689453125	0.0008078856050976464080182193328028006362728774547576904296875	0.047656285242474068220008831531231408007442951202392578125	-1.2868371867915684	11.794687106206204	IFIH1;CD84;RNF216;UBA7;TNFAIP3;LILRB1;NCKAP1L;LGALS9;THBS1;HDAC7;HAVCR2
kidney development (GO:0001822)	7/64	0.00104964768255079335217139213654036211664788424968719482421875	0.0254158280740717744394796540063907741568982601165771484375	0.0043125030960937289770118496790018980391323566436767578125	0.10476063370530504237354563201733981259167194366455078125	-1.7150219495449324	11.763851278831945	FOXC1;ACE;HYAL2;CTSH;PROX1;BMP7;TGFBR1
membrane protein proteolysis (GO:0033619)	6/36	0.00024132617349401259965180344124746625311672687530517578125	0.01005407425747849477215556390774509054608643054962158203125	0.00121434792350653443515628993054633610881865024566650390625	0.05548786560151632019088907554760226048529148101806640625	-1.4051174775973037	11.703730890485355	NCSTN;TGFB1;ADAM10;CTSH;MYH9;PSEN1
myeloid cell development (GO:0061515)	3/16	0.0067862669084984110490221809186550672166049480438232421875	0.0660669902122886509854282621745369397103786468505859375	0.016410543135907111611526687511286581866443157196044921875	0.1721891433482401756460689057348645292222499847412109375	-2.338525733346233	11.675918219353916	APP;NCKAP1L;TLR2
negative regulation of T cell mediated immunity (GO:0002710)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.8090166281267317	11.660879384856687	PTPRC;LILRB1
iron ion import across plasma membrane (GO:0098711)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.6344231382026635	11.650426303604965	STEAP3;PICALM
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	6/48	0.001181392318458319469487438624355490901507437229156494140625	0.0257452649091724529439861868240768671967089176177978515625	0.00447344826056113309409312250863877125084400177001953125	0.10509118149354017279772932624837267212569713592529296875	-1.7271780200829605	11.64301343649041	ACVR1;TGFB1;INHBB;BMP7;TGFBR1;ENG
positive regulation of protein import into nucleus, translocation (GO:0033160)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.6293891605924253	11.628164130033984	UBR5;PSEN1
negative regulation of alpha-beta T cell activation (GO:0046636)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.790149043588503	11.582555666377813	CD300A;LILRB1
positive regulation of cytokine production (GO:0001819)	14/221	0.001371455416683276147538084188681750674732029438018798828125	0.027183036371569213596188774317852221429347991943359375	0.00845284513063293031776002095512012601830065250396728515625	0.1337816215367770567024052752458374015986919403076171875	-1.7530100082725637	11.555636443032707	TGFB1;IL18;DDX60;IL17RA;NFKB2;C3;IRF7;POLR2E;HLA-DPB1;IRF5;LGALS9;TLR2;HAVCR2;HLA-DPA1
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	8/86	0.00137210525984271004829029294569409103132784366607666015625	0.027183036371569213596188774317852221429347991943359375	0.00577393306798983096950195204044575802981853485107421875	0.1164297119656726164915738763738772831857204437255859375	-1.7497691295919402	11.53344404579072	APP;CD74;TGFB1;ITGB2;PTPN6;TREM2;TP53;CD44
protein localization to membrane (GO:0072657)	13/161	0.00020679970886466623515055618387492586407461203634738922119140625	0.0091541183627124912691730429514791467227041721343994140625	0.00163396144568107794421696343789562888559885323047637939453125	0.06708714167557237872951958479461609385907649993896484375	-1.3590164186239593	11.529568891312389	ITGB2;ANK2;ITGAL;FAM126A;RAB32;SLC9A3R1;RAB15;CDH1;ABHD17A;PKP2;MAP7;CPE;FERMT2
clathrin coat assembly (GO:0048268)	3/15	0.005616756488903596085393576942124127526767551898956298828125	0.0582116668738163756113834779171156696975231170654296875	0.014116269921147610311162878815594012849032878875732421875	0.16476611260541762504772123065777122974395751953125	-2.222692675580752	11.517995487269724	HIP1;PIK3C2A;PICALM
amyloid-beta metabolic process (GO:0050435)	3/15	0.005616756488903596085393576942124127526767551898956298828125	0.0582116668738163756113834779171156696975231170654296875	0.014116269921147610311162878815594012849032878875732421875	0.16476611260541762504772123065777122974395751953125	-2.22175296456268	11.513125903910582	NCSTN;ACE;PSEN1
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-1.7923877442288898	11.51067799296629	SOAT1;ABCA7;ITM2A
nucleoside catabolic process (GO:0009164)	3/13	0.003663823003800908452431972506246893317438662052154541015625	0.046389200187008643172514865682387608103454113006591796875	0.0101093299659495532150099705859247478656470775604248046875	0.142429552815835636092600680058239959180355072021484375	-2.051286591731172	11.506175499603142	NT5E;DERA;TYMP
regulation of activin receptor signaling pathway (GO:0032925)	3/15	0.005616756488903596085393576942124127526767551898956298828125	0.0582116668738163756113834779171156696975231170654296875	0.014116269921147610311162878815594012849032878875732421875	0.16476611260541762504772123065777122974395751953125	-2.2166836540300197	11.486856732072198	ACVR1;FKBP1A;FSTL3
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.763997762329529	11.47399563385009	PKP2;DSC2
receptor internalization (GO:0031623)	7/51	0.0002583393479438353726972132928807468488230369985103607177734375	0.010308103841195570549160720474901609122753143310546875	0.0013421982511238436837353038555420425836928188800811767578125	0.060356311832283314477987090640453970991075038909912109375	-1.3853886246366096	11.445023121280197	SNX1;SYK;LRP1;ITGB2;CD9;LILRB1;PICALM
negative regulation of signal transduction by p53 class mediator (GO:1901797)	3/16	0.0067862669084984110490221809186550672166049480438232421875	0.0660669902122886509854282621745369397103786468505859375	0.016410543135907111611526687511286581866443157196044921875	0.1721891433482401756460689057348645292222499847412109375	-2.284972113249098	11.408532797980014	CD74;RFFL;CD44
actin filament organization (GO:0007015)	12/121	0.000050838640559809164672609715918127903933054767549037933349609375	0.00395653673954086786135331266223147395066916942596435546875	0.0004710268778038662561800931083411114741466008126735687255859375	0.039247621906422149040682967324755736626684665679931640625	-1.1522384243779873	11.392012903999307	CAP1;HIP1;SCIN;EFS;ABI2;RUFY3;WAS;PROX1;WASL;FRYL;CD2AP;ARHGAP12
proteolysis (GO:0006508)	17/292	0.00112879224016344836302450094223104315460659563541412353515625	0.0257452649091724529439861868240768671967089176177978515625	0.008531627502623019554395256136558600701391696929931640625	0.134278337305172301707756332689314149320125579833984375	-1.6717897749123212	11.3457802422142	ACE;MMP2;RHBDF2;CTSZ;PLAT;PSEN1;PCSK6;CTSS;NCSTN;ATG4C;CASP1;OLR1;CPE;CTSH;LAP3;CPVL;CTSC
negative regulation of cellular process (GO:0048523)	28/535	0.0002011758755263594170871466193517562714987434446811676025390625	0.0091541183627124912691730429514791467227041721343994140625	0.0037207322161375102655134217144450303749181330204010009765625	0.09851247073193987457973008758926880545914173126220703125	-1.3263547834382405	11.289044624905175	APP;FBLN1;PDS5B;CLU;IFIT3;SLC9A3R1;SCIN;FRZB;ADAMTS1;HYAL2;MYC;TP53BP2;SH3BP4;TP53TG5;TGFB1;ADAM10;LILRB1;PROX1;SOD2;BMP7;AZGP1;BCL6;CD9;MYH9;PTPN6;TMBIM6;TP53;VAMP3
positive regulation of fibroblast migration (GO:0010763)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.552173124116141	11.28668529568197	TGFB1;THBS1
embryonic camera-type eye morphogenesis (GO:0048596)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.547952754360325	11.268021207099888	KDM2B;TBX2
protein targeting to lysosome (GO:0006622)	4/20	0.0013500213123241442715605220570296296500600874423980712890625	0.027183036371569213596188774317852221429347991943359375	0.00459982580487080204567629237999426550231873989105224609375	0.10509118149354017279772932624837267212569713592529296875	-1.7020559782911457	11.246564483484086	SCARB2;LAMP2;SORL1;CLU
positive regulation of B cell differentiation (GO:0045579)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.7076909968746175	11.240253193899136	SYK;NCKAP1L
cellular polysaccharide catabolic process (GO:0044247)	4/20	0.0013500213123241442715605220570296296500600874423980712890625	0.027183036371569213596188774317852221429347991943359375	0.00459982580487080204567629237999426550231873989105224609375	0.10509118149354017279772932624837267212569713592529296875	-1.7003812483721061	11.235498479623384	PHKA1;PYGL;GYG2;PGM1
receptor catabolic process (GO:0032801)	4/25	0.00319418494996333464375215527297768858261406421661376953125	0.043297253412660892391006228763217222876846790313720703125	0.009180715300146240209766546058745007030665874481201171875	0.1376135790757370414016946824631304480135440826416015625	-1.9449505068953357	11.176508959629357	MYLIP;TGFB1;ZNRF3;KIF16B
positive regulation of cardiac muscle tissue development (GO:0055025)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.5258162768464967	11.170125240367597	MEF2C;TGFB1
neuron projection maintenance (GO:1990535)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.525481591434617	11.168645133520124	APP;PSEN1
regulation of phagocytosis, engulfment (GO:0060099)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.5190535008999615	11.140217659603387	CD300A;NCKAP1L
regulation of cellular response to oxidative stress (GO:1900407)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.516353169453173	11.128275761561305	GCH1;BMP7
regulation of dendritic cell differentiation (GO:2001198)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.6774558221233495	11.114739972501896	LILRB1;LGALS9
vesicle-mediated transport (GO:0016192)	22/411	0.000703973527535119961325016380015995309804566204547882080078125	0.0201355283341324853285669860269990749657154083251953125	0.007551626368380161095916758284829484182409942150115966796875	0.1337816215367770567024052752458374015986919403076171875	-1.5289164787481346	11.098052770986252	NSF;APP;LRP1;APLP2;TGFBRAP1;WIPF3;WAS;DENND3;WASL;VRK2;PIK3C2A;SNX1;EHD4;KIF16B;BIN1;RIN3;AMPH;ATP9A;CSNK1G2;CYTH1;VAMP3;PICALM
negative regulation of mitotic cell cycle (GO:0045930)	6/49	0.0013183194587427075374075347014013459556736052036285400390625	0.027183036371569213596188774317852221429347991943359375	0.004901771457976496215724893090737168677151203155517578125	0.11109374832357930829029868391444324515759944915771484375	-1.6703174401953984	11.07653888179772	SLC9A3R1;FOXC1;TGFB1;BCL6;BMP7;PTPN3
granulocyte migration (GO:0097530)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.6660431620990424	11.06736337434606	ADGRE2;ITGB2
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	8/60	0.000116266678052681670697821036952745998860336840152740478515625	0.00658766997846494360702163106680018245242536067962646484375	0.0007328601684066051759336435367231388227082788944244384765625	0.04417431610842366407343462242351961322128772735595703125	-1.2205473776515439	11.057700384874224	ACVR1;HYAL2;TMC8;ITGA6;BIRC6;LTBR;THBS1;TGFBR1
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	13/164	0.00024805375292697774171346569715979057946242392063140869140625	0.01018458379771199941166148761340082273818552494049072265625	0.0019035394274410197441860237432820213143713772296905517578125	0.07387297531425217334000166147234267555177211761474609375	-1.3314456710749643	11.053482335412193	APP;CD74;NOD1;FKBP1A;CD4;CASP10;CASP1;HMOX1;LTBR;LGALS9;TRIM38;MAP3K14;TLR2
Fc-gamma receptor signaling pathway (GO:0038094)	10/135	0.0020890947948024353453266854785397299565374851226806640625	0.035020151205179282649648797587360604666173458099365234375	0.00939666499758652802587466368322566268034279346466064453125	0.1386497496779303950642514564606244675815105438232421875	-1.7907285060691505	11.050629339397608	HCK;CYFIP1;FCGR2A;SYK;WIPF3;PLCG2;WAS;NCKAP1L;WASL;FCGR1A
positive regulation of tumor necrosis factor production (GO:0032760)	6/48	0.001181392318458319469487438624355490901507437229156494140625	0.0257452649091724529439861868240768671967089176177978515625	0.00447344826056113309409312250863877125084400177001953125	0.10509118149354017279772932624837267212569713592529296875	-1.6370067736872027	11.035163509520826	IFIH1;LGALS9;THBS1;CLU;TLR2;HAVCR2
phospholipid efflux (GO:0033700)	3/13	0.003663823003800908452431972506246893317438662052154541015625	0.046389200187008643172514865682387608103454113006591796875	0.0101093299659495532150099705859247478656470775604248046875	0.142429552815835636092600680058239959180355072021484375	-1.9670857378878723	11.033872016782734	APOC1;ABCA7;APOE
regulation of microglial cell activation (GO:1903978)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.6477860701152296	10.991573952023042	APP;ITGAM
positive regulation of cholesterol efflux (GO:0010875)	3/14	0.004577385032437511665215357226088599418289959430694580078125	0.05292951753834886086114153158632689155638217926025390625	0.01201666038319137118361989990944493911229074001312255859375	0.1499700390554235818196815444025560282170772552490234375	-2.0394159877132614	10.985574034373679	LRP1;ABCA7;APOE
signal complex assembly (GO:0007172)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.4825075918579977	10.97859767767363	PXN;MAPK8IP2
positive regulation of NF-kappaB import into nucleus (GO:0042346)	3/16	0.0067862669084984110490221809186550672166049480438232421875	0.0660669902122886509854282621745369397103786468505859375	0.016410543135907111611526687511286581866443157196044921875	0.1721891433482401756460689057348645292222499847412109375	-2.193142557362584	10.950041206734486	APP;LGALS9;TLR2
modified amino acid transport (GO:0072337)	3/15	0.005616756488903596085393576942124127526767551898956298828125	0.0582116668738163756113834779171156696975231170654296875	0.014116269921147610311162878815594012849032878875732421875	0.16476611260541762504772123065777122974395751953125	-2.107453874858315	10.920827916034265	SLC9A3R1;SLC1A4;FOLR2
aorta morphogenesis (GO:0035909)	4/17	0.000703689095129684583952711651733125108876265585422515869140625	0.0201355283341324853285669860269990749657154083251953125	0.0027737467324506653344740048083849615068174898624420166015625	0.0844948870218573677703943758388049900531768798828125	-1.5040364073091657	10.91806187107384	LRP1;PROX1;ENG;TBX2
epidermal growth factor receptor signaling pathway (GO:0007173)	6/58	0.0031614469899034079898580973377875125152058899402618408203125	0.043297253412660892391006228763217222876846790313720703125	0.01021446654063218328900575215811841189861297607421875	0.142429552815835636092600680058239959180355072021484375	-1.894286480270881	10.904887186766366	TGFB1;KIF16B;PXN;GAB1;PIK3C2A;HBEGF
regulation of cation channel activity (GO:2001257)	9/72	0.00007351911095092043325373298845448744032182730734348297119140625	0.00520699103309893961133436590671408339403569698333740234375	0.0005306884026391490982721421687529073096811771392822265625	0.0395571586462306334919247774450923316180706024169921875	-1.1443648654037393	10.892024933665937	FKBP1A;APP;MEF2C;NETO1;KCNIP2;HPCA;ANK2;MAPK8IP2;CTSS
response to muramyl dipeptide (GO:0032495)	2/10	0.024484116125077760861561415595133439637720584869384765625	0.130137900529728511855864780955016613006591796875	0.045314702700106949950775714341943967156112194061279296875	0.254921429748487415878344108932651579380035400390625	-2.928824187191865	10.86514898194295	IRF5;NOD1
negative regulation of intracellular signal transduction (GO:1902532)	13/162	0.0002198426269725880914142346345130363260977901518344879150390625	0.00943657821535366821141810333983812597580254077911376953125	0.0017200599881629051457476720088379806838929653167724609375	0.06961328494950728973389431075702304951846599578857421875	-1.288951249740564	10.85631899092302	PLEK;TNFAIP3;LIMD1;THBS1;HDAC7;CD2AP;ARHGAP12;SLC9A3R1;HYAL2;WWC3;SH3BP4;RFFL;AJUBA
macrophage derived foam cell differentiation (GO:0010742)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.4526846236266495	10.846709110307371	TGFB1;SOAT1
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	3/17	0.0080896764406543607284216790276332176290452480316162109375	0.074409264144070785818030344671569764614105224609375	0.018901137640742075862743121206221985630691051483154296875	0.1898827054475968056923562699012109078466892242431640625	-2.251272448448047	10.844754319386663	HMOX1;PIK3C2A;HDAC7
apoptotic process (GO:0006915)	14/232	0.0021585069829228790798392179084430608781985938549041748046875	0.03510924035732694570288714430716936476528644561767578125	0.01230437268944237737267055621259714826010167598724365234375	0.1522195975073810103594951215200126171112060546875	-1.7603065151274573	10.805357267501318	APP;HIP1;MAGI3;ITGB2;LY86;SEPT4;HK2;IFIT2;DAP;CASP10;MYC;CASP1;PTPN6;TLR2
fusion of virus membrane with host plasma membrane (GO:0019064)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.591345013373294	10.757274037799869	CD4;HYAL2
response to chemokine (GO:1990868)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.429303579510052	10.74330919423785	FOXC1;DOCK8
negative regulation of bone resorption (GO:0045779)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.4280106377312443	10.737591311377496	TNFAIP3;CARTPT
cellular protein catabolic process (GO:0044257)	8/63	0.00016486662046713836484758408662543160971836186945438385009765625	0.0084967157629587015954530926364896004088222980499267578125	0.0009784888453752776070471153246899120858870446681976318359375	0.051334424054595588493565827548081870190799236297607421875	-1.2254604978980603	10.674218979229867	MYLIP;CTSZ;CTSH;DENND3;TCIRG1;CPVL;CTSS;CTSC
cellular response to oxidative stress (GO:0034599)	9/116	0.0025140409335010906015372977861943581956438720226287841796875	0.038291817014024676080197195915388874709606170654296875	0.01029121797189792679450004442287536221556365489959716796875	0.142429552815835636092600680058239959180355072021484375	-1.779122462893616	10.649584900699036	GPX1;PXN;HMOX1;PRR5L;VRK2;SOD2;CPEB2;SOD3;TP53
positive regulation of epithelial to mesenchymal transition (GO:0010718)	5/41	0.0033859943023912745900527720976924683782272040843963623046875	0.0452872195068198257761338254567817784845829010009765625	0.0101476564016586869032554574232563027180731296539306640625	0.142429552815835636092600680058239959180355072021484375	-1.8555679083989505	10.554670066756263	ACVR1;FOXC1;TGFB1;TGFBR1;ENG
pathway-restricted SMAD protein phosphorylation (GO:0060389)	3/14	0.004577385032437511665215357226088599418289959430694580078125	0.05292951753834886086114153158632689155638217926025390625	0.01201666038319137118361989990944493911229074001312255859375	0.1499700390554235818196815444025560282170772552490234375	-1.9591951561961924	10.553454305471327	ACVR1;TGFB1;TGFBR1
smooth muscle tissue development (GO:0048745)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.3855767590362316	10.549932476567214	PROX1;ENG
mesenchyme morphogenesis (GO:0072132)	3/16	0.0067862669084984110490221809186550672166049480438232421875	0.0660669902122886509854282621745369397103786468505859375	0.016410543135907111611526687511286581866443157196044921875	0.1721891433482401756460689057348645292222499847412109375	-2.105016657947696	10.510041432559284	ACVR1;ENG;TBX2
macromolecular complex assembly (GO:0065003)	11/121	0.0002257576421750816524254557027262535484624095261096954345703125	0.00954584179525382568731739496570298797450959682464599609375	0.0015422456936189199265541116545819022576324641704559326171875	0.06425267720621176403827945478042238391935825347900390625	-1.250449986672316	10.49883875225491	SLC9A3R1;CARD10;CD74;SLC7A7;WAS;NCKAP1L;WASL;TP53;VAMP3;PICALM;CD2AP
regulation of receptor recycling (GO:0001919)	3/18	0.0095302082461613639441377898720020311884582042694091796875	0.0825659937656732234589895824683480896055698394775390625	0.021589036125545017774651768149851704947650432586669921875	0.20053029293006241484675911124213598668575286865234375	-2.2527841587625534	10.482855091837031	NSF;KIF16B;VAMP3
positive regulation of macrophage activation (GO:0043032)	3/18	0.0095302082461613639441377898720020311884582042694091796875	0.0825659937656732234589895824683480896055698394775390625	0.021589036125545017774651768149851704947650432586669921875	0.20053029293006241484675911124213598668575286865234375	-2.2503596954911402	10.471573364268568	APP;ITGAM;THBS1
regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901213)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.522232562627631	10.470372228794036	ACVR1;TBX2
positive regulation of protein phosphorylation (GO:0001934)	21/413	0.00174063401289750101057218767408585335942916572093963623046875	0.0309085153593265833660286290296426159329712390899658203125	0.01485618279220892769265649491217118338681757450103759765625	0.1676795452204298542131510885155876167118549346923828125	-1.6410152310141117	10.426199881503345	ACVR1;NTRK2;APP;CD74;CEMIP;TGFB1;ARAF;INHBB;TREM2;TNFRSF1B;BMP7;TGFBR1;C3;CD4;PTPRC;LCP2;TEK;LTBR;TP53;CD44;ENG
positive regulation of intracellular protein transport (GO:0090316)	11/153	0.00162064121590138154709037632272838891367428004741668701171875	0.0299509552401458108150666959090813179500401020050048828125	0.00809211793226576048265741292198072187602519989013671875	0.1337816215367770567024052752458374015986919403076171875	-1.6175101760563242	10.392395148135716	HHAT;CEMIP;TGFB1;ITGAM;SLC17A9;HYAL2;RUFY3;ITGAX;PRR5L;SORL1;TP53
ventricular cardiac muscle tissue development (GO:0003229)	4/22	0.00195941946745213819991437986800519865937530994415283203125	0.033343083365363103409695355594521970488131046295166015625	0.006184583889805836225128654604077382828108966350555419921875	0.1225239591595799482082185249964823015034198760986328125	-1.6665183157637296	10.390920082387577	FKBP1A;TGFB1;PKP2;PROX1
regulation of response to biotic stimulus (GO:0002831)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.5029551295044454	10.390347133802335	SCARB2;CD55
regulation of interleukin-12 secretion (GO:2001182)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.346599626929152	10.377560696744016	LILRB1;LGALS9
cholesterol efflux (GO:0033344)	4/24	0.0027363997374173858710688644890751675120554864406585693359375	0.04026699409080268521332612863261601887643337249755859375	0.00809529813777280782272072201521950773894786834716796875	0.1337816215367770567024052752458374015986919403076171875	-1.7576633084608477	10.372168370265351	SOAT1;APOC1;ABCA7;APOE
venous blood vessel development (GO:0060841)	2/8	0.0157450085343339186982891675370410666801035404205322265625	0.1006898627037652038662685072267777286469936370849609375	0.032089156843369916194408375531565980054438114166259765625	0.2159856398083681294775004744224133901298046112060546875	-2.4855190550358275	10.3179659455644	PROX1;ENG
regulation of NMDA receptor activity (GO:2000310)	3/14	0.004577385032437511665215357226088599418289959430694580078125	0.05292951753834886086114153158632689155638217926025390625	0.01201666038319137118361989990944493911229074001312255859375	0.1499700390554235818196815444025560282170772552490234375	-1.910559195788471	10.291470508633989	APP;MEF2C;MAPK8IP2
regulation of nuclease activity (GO:0032069)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.31633461093461	10.24371722516625	OAS1;OAS3
positive regulation of cell motility (GO:2000147)	14/180	0.00017695242852614311425234194796729525478440336883068084716796875	0.0084967157629587015954530926364896004088222980499267578125	0.001529396927145365396583098771543518523685634136199951171875	0.06425267720621176403827945478042238391935825347900390625	-1.183067536529704	10.221265339229602	ACVR1;SUN2;CEMIP;TGFB1;ADAM10;SEMA3F;SOD2;THBS1;TGFBR1;CXCL16;RUFY3;CTSH;ITGA6;HBEGF
definitive hemopoiesis (GO:0060216)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-2.3073824191036123	10.204127210308604	LYL1;TEK
